imdbID,title,url,imdbRating,imdbVotes,duration,year,specialNominations,noOfAwards,noOfNominations,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,directors,writers,actors,country,language,Type,Plot,Rated,Genre,totalSeasons
tt9537306,Possessed,http://www.imdb.com/title/tt9537306/,6.9,415,nan,2019–,None,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,nan,nan,Han Sun Jo- Jun-hee Ko- Sae-byeok Song- Jeong-hun Yeon,South Korea,Korean,series,Kang Pil Sung works as a detective. His instincts as a detective are excellent and he is foul-mouthed. He is both lazy and rough- but he is also soft-hearted. Hong Seo Jung has excellent ...,nan,Comedy- Crime- Drama- Horror- Romance- Thriller,1
tt3385756,Potato Star 2013QR3,http://www.imdb.com/title/tt3385756/,7.6,38,nan,2013–,None,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Kyung-pyo Go,South Korea,Korean,series,nan,nan,Comedy- Fantasy- Romance,nan
tt6096994,Precious Family,http://www.imdb.com/title/tt6096994/,nan,nan,3600,2004–2005,None,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Eun-hee Bang- Jun-ho Heo- Jun Jeong- Hae-sook Kim,South Korea,Korean,series,The drama shows how members of a good-natured family endure life's hardships and how the love they have for each other helps them no matter how many difficulties they face.,nan,Drama- Family,nan
tt7689460,Our Cartoon President,http://www.imdb.com/title/tt7689460/,5.1,3163,1800,2018–,None,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,Stephen Colbert- R.J. Fried- Matt Lappin- Chris Licht- Tim Luecke,Jeff Bergman- James Adomian- Gabriel Gundacker- Emily Lynne,USA,English,series,From executive producer Stephen Colbert comes this hilarious animated workplace comedy where the office is oval. It's a character study in search of character and a timely political send-up of our forty-fifth president.,TV-14,Animation- Adventure- Comedy,3
tt4247554,The Pretty Smart Woman Show,http://www.imdb.com/title/tt4247554/,nan,nan,nan,2015–,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,nan,nan,Dahlia Wilde,USA,English,series,nan,nan,Talk-Show,nan
tt0112130,Pride and Prejudice,http://www.imdb.com/title/tt0112130/,8.8,73929,19620,1995,None,8,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Jennifer Ehle- Colin Firth- Susannah Harker- Julia Sawalha,UK,English,series,While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy- willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.,TV-PG,Drama- Romance,1
tt9674954,The Fiery Priest,http://www.imdb.com/title/tt9674954/,8.2,265,2100,2019–,None,7,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Nam-gil Kim- Seong-gyoon Kim- Lee Hanee- Joon Go,South Korea,Korean,series,A drama about a Catholic priest with anger management issues and a detective from the Gudam Police Station who meet during their joint investigation into the murder of an elderly priest.,nan,Action- Comedy- Crime- Drama,nan
tt0098800,The Fresh Prince of Bel-Air,http://www.imdb.com/title/tt0098800/,7.9,117563,1320,1990–1996,None2:Golden Globes;,14,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,Andy Borowitz- Susan Borowitz,Will Smith- James Avery- Alfonso Ribeiro- Tatyana Ali,USA,English,series,When Will- an inner-city teenager from Philly is sent by his mother to live with his relatives (the Banks') in Bel-Air- everybody is in for a surprise. It is funny how influence can go both ways...,TV-PG,Comedy,6
tt0966113,A Prince's First Love,http://www.imdb.com/title/tt0966113/,6.1,46,3600,2004–,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Yu-ri Sung,South Korea,Korean,series,The Story follows two young men and a young lady. The first is the son of a Millionair who only cares about himself. The second is the owner of a large company. He too of course is quit ...,nan,Drama,nan
tt6133778,Princess Aurora,http://www.imdb.com/title/tt6133778/,nan,nan,nan,2013–,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,So-min Jeon- Ok-Dam Baek- Hee-Bong Byun- Lee Hyun-Kyung,South Korea,Korean,series,nan,nan,Drama,nan
tt0813742,Princess Lulu,http://www.imdb.com/title/tt0813742/,5.6,16,3600,2005–,None,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Jeong-eun Kim- Jun-ho Jeong- Heung-soo Kim- Seung-woo Lee,South Korea,Korean,series,nan,nan,Comedy- Drama- Romance,nan
tt0968717,America's Next Producer,http://www.imdb.com/title/tt0968717/,4.6,18,nan,2007–,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,Steve Schleinitz- Bradley Gallo- Dan Hosea- Lindsay Liles,USA,English,series,10 wannabe TV producers vie to be the best in their field by undergoing a series of elimination challenges .,nan,Reality-TV,1
tt1819921,Prosecutor Princess,http://www.imdb.com/title/tt1819921/,7.1,212,nan,2010–,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,So-yeon Kim- Shi-hoo Park- Jong-Suk Lee,South Korea,Korean,series,The writer of 2009 hit Shining Inheritance adds a romantic comedy twist to this traditional revenge story. Having graduated law school with little effort due to her superb memory and high ...,nan,Romance,1
tt2953920,Protect the Boss,http://www.imdb.com/title/tt2953920/,7.2,357,nan,2011–,None,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Nae-sang Ahn- Gi-soo Byeon- Hwa-yeon Cha- Kang-hee Choi,South Korea,Korean,series,No Eun Seol has struggled to find a job. When she gets the job as secretary to Cha Ji Heon the youngest son of a rich family- she soon discovers that secretary duties go beyond the ordinary. She must help her boss cope and function in normal society. Add to that a rival cousin hoping to take over the company with a mother willing to anything to help her son succeed- a loving and angry father that desperately wants his son to succeed- and you have family intrigue- mixed with comedy and romance.,nan,Comedy- Drama- Romance,1
tt11133466,Psychopath Diary,http://www.imdb.com/title/tt11133466/,7.9,165,nan,2019–,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,nan,nan,In-sun Jung- Sung-Hoon Park- Shi-Yoon Yoon,South Korea,Korean,series,"Psychopath Diary" is about a man named Yook Dong Shik- who coincidentally witnesses a murder and loses his memory after an accident that occurs while fleeing the scene. He wakes up with no...,nan,Comedy- Thriller,nan
tt5545832,Puck!,http://www.imdb.com/title/tt5545832/,8.4,16,nan,2016–,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Hwang Gyoo-In- Seo Han-Gyeol- Kim Jin-Woo- Hie-bong Jo,South Korea,Korean,series,To pay off his ex-wife's debts- Joon-Man works as a loan shark for a local crime boss. After a hockey coach fails to pay his debt- Joon-Man joins the University hockey team in order to collect.,nan,Drama,1
tt3119398,Mashiro-Iro Symphony: Love Is Pure White,http://www.imdb.com/title/tt3119398/,7.4,10,nan,2011–,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Takahiro Mizushima- Ryoko Ono- Mayumi Yoshida,Japan,Japanese,series,When a private school for girls start taking in boys it's not very popular with the female students. But slowly their opinion begin to change because of a male student- Shingo. Based on a video game,nan,Romance,1
tt11525782,Pure Pumpkin Flower,http://www.imdb.com/title/tt11525782/,nan,nan,1800,2010–2011,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Chung-Ah Lee- Chong-ok Bae- Tae-Hyun Jin- Hyo-jeong Ban,South Korea,Korean,series,nan,nan,Family,nan
tt3547168,Que Sera Sera,http://www.imdb.com/title/tt3547168/,7.4,14,nan,2007–,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Yu-mi Jeong- Eric Moon,South Korea,Korean,series,Tae Joo has charm and good looks and only dates rich women. He finds Eun Soo- a poor girl- sleeping in front of his door. He initially despises her- but finds himself falling for her. Tae Joo becomes entangled with the daughter of a rich shopping mall CEO when she buys Tae Joo's time to make her old boyfriend jealous. Tae Joo dumps Enu Soo for this money-making relationship. He comes to regret this choice but finds himself unable to extract himself and Eun Soo becomes entangled with a rich man herself.,nan,Romance,1
tt2458076,Queen Insoo,http://www.imdb.com/title/tt2458076/,7.3,13,4200,2011–,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Shi-ra Chae- Mi-suk Kim- Young Ho Kim- Sung-Hyun Baek,South Korea,Korean,series,Three women struggle with one another as each vies for power in the royal court of the Joseon Dynasty.,nan,History,1
tt5145452,Queen of Reversals,http://www.imdb.com/title/tt5145452/,7.0,25,nan,2010–2011,None,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Nam-ju Kim,South Korea,Korean,series,Hwang Tae Hee lleva una vida de ensueño- después de crecer en una familia adinerada- fácilmente obtiene un codiciado trabajo. Siendo demasiado adicta al trabajo para tener tiempo para el ...,nan,Comedy- Romance,1
tt0983961,Queen of the Game,http://www.imdb.com/title/tt0983961/,6.8,31,3600,2006–,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Jin-mo Ju,South Korea,Korean,series,Kang Jae-ho caused the death of Shin-jeon's father when Shin-jeon (Joo Jin-Mo) was a young boy. Ever since his father's death- Shin-jeon thought about getting revenge. In his plot to get revenge- Shin-jeon intentionally approaches Eun-seol- who is Kang Jae-ho's daughter- and uses his charm to win her heart. but Shin-jeon finds himself falling in love with Eun-seol as he gets to know her better. and decides to forgive her dad. As Shin-jeon plans to marry Eun-seol and settle down with her in marital bliss- Eun-seol finds out that Shin-jeon approached her on purpose to get revenge on her father. Angry at being betrayed- Eun-seol begins to devise a plot to turn the tables around on Shin-jeon...,nan,Drama,nan
tt6464184,Radiant Office,http://www.imdb.com/title/tt6464184/,7.0,157,3900,2017,None,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Ko Asung- Seok-jin Ha- Dong-hwi Lee- Hoya,South Korea,Korean,series,An office romantic-comedy features the hijinks that ensues between a tempt worker with possible terminally-ill diagnosis and a prickly elite marketing director.,nan,Comedy- Drama- Romance,1
tt7817942,Radio Romance,http://www.imdb.com/title/tt7817942/,6.5,574,4200,2018,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Yoon Bak- So-Hyun Kim- Hyun-Kyung Oh- Doo-Joon Yoon,South Korea,Korean,series,About an actor who's showcase family is famous and a radio writer who fell in love with radio after her mother became blind when she was a teen. She gets the actor to become her DJ not ...,nan,Romance,1
tt6959502,Ready for Start,http://www.imdb.com/title/tt6959502/,7.5,13,480,2016,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Sung-Hyun Baek- Ki-Chan Lee- Seung-Hoon Baek- Byung Mo Choi,USA- South Korea,English,series,This darkly comic series follows a group of employees as they navigate the highly competitive world of the advertising business.,nan,Comedy,nan
tt6256694,Rebel: Thief Who Stole the People,http://www.imdb.com/title/tt6256694/,8.3,90,nan,2017,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Ye-June Kim,South Korea,Korean,series,Story of Hong Gil Dong- often said to be Robin Hood of Korea during Joseon Dynasty.,TV-14,Drama,1
tt12850322,Record of Youth,http://www.imdb.com/title/tt12850322/,7.6,112,4200,2020–,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Bo-Gum Park- So-dam Park- Woo-Seok Byeon- Kwon Soo-Hyeon,South Korea,Korean,series,Two actors and a makeup artist fight to make their own way in a world that weighs the backgrounds they were born into more than their dreams.,TV-14,Drama- Romance,nan
tt4803738,I Remember You,http://www.imdb.com/title/tt4803738/,7.9,696,nan,2015–,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,nan,nan,In-Guk Seo- Na-ra Jang- Bo-Gum Park- Won-young Choi,South Korea,Korean,series,When a serial killer strikes women who all have a similar appearance- the police department's Special Crime Investigation Team is stumped. While Cha Ji An (Jang Na Ra)- an elite detective- and her fellow colleagues are assessing the latest crime scene- the mysterious Lee Hyun (Seo In Guk) shows up and instantly assesses the trademark attributes of the killer. Hyun is a genius criminal profiler with a degree in criminal psychology who received an anonymous email that brought him to the crime scene all the way from the United States. The serial killer seems to be sending a personal message to Hyun with the clues he leaves behind- and Hyun wonders if it could be related to an escaped criminal "monster" from his childhood who killed his father and was responsible for the disappearance of his younger brother. Ji An has known Hyun since childhood and is ecstatic to see her childhood crush again- but Hyun doesn't seem to remember her. With no leads to capture the serial killer- Ji An and her colleagues solicit Hyun's help. Can Hyun and Ji An solve the case and find answers to their pasts?,nan,Crime- Mystery- Romance- Thriller,1
tt5182866,Reply 1988,http://www.imdb.com/title/tt5182866/,9.0,2443,5400,2015–2016,None,5,19,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Hyeri Lee- Kyung-pyo Go- Jun-Yeol Ryu- Bo-Gum Park,South Korea,Korean,series,Follows the lives of 5 families living on the same street in a neighbourhood called Ssangmundong in Seoul. It takes a nostalgic look back at the year 1988.,nan,Comedy- Drama- Family,1
